"Location","Citizen","Non-Citizen","Total"
"AL","0.980215225","0.019784775","1"
"AK","0.958656331","0.041343669","1"
"AZ","0.914028181","0.085971819","1"
"AR","0.965660806","0.034339194","1"
"CA","0.860644829","0.139355171","1"
"CO","0.944232133","0.055767867","1"
"CT","0.932070319","0.067958127","1"
"DE","0.930597264","0.069402736","1"
"FL","0.909276597","0.090718153","1"
"GA","0.943543525","0.05644608","1"
"HI","0.920108532","0.079891468","1"
"ID","0.940755744","0.059180961","1"
"IL","0.920971017","0.079028983","1"
"IN","0.977112121","0.022887879","1"
"IA","0.964672742","0.035327258","1"
"KS","0.956327348","0.043636884","1"
"KY","0.968227851","0.031772149","1"
"LA","0.978561858","0.021438142","1"
"ME","0.986374586","0.013625414","1"
"MD","0.908470508","0.091512346","1"
"MA","0.932651595","0.067363691","1"
"MI","0.967583204","0.032427091","1"
"MN","0.964490695","0.035509305","1"
"MS","0.991158054",NA,"1"
"MO","0.985127287","0.014855831","1"
"MT","0.985961014",NA,"1"
"NE","0.937390925","0.062609075","1"
"NV","0.899371069","0.100628931","1"
"NH","0.972854842","0.027145158","1"
"NJ","0.888767231","0.111232769","1"
"NM","0.935153084","0.064846916","1"
"NY","0.896810681","0.103194498","1"
"NC","0.946507892","0.053502609","1"
"ND","0.9830733","0.017073889","1"
"OH","0.97788254","0.02211746","1"
"OK","0.970997773","0.028975398","1"
"OR","0.947238978","0.052735133","1"
"PA","0.969346033","0.030646089","1"
"RI","0.928592163","0.071311079","1"
"SC","0.973882612","0.026117388","1"
"SD","0.978044891","0.021955109","1"
"TN","0.968770712","0.031229288","1"
"TX","0.891312108","0.108687892","1"
"UT","0.951991213","0.048008787","1"
"VT","0.982427595","0.017735112","1"
"VA","0.931578215","0.068421785","1"
"WA","0.924613279","0.075386721","1"
"WV","0.993541264",NA,"1"
"WI","0.9722497","0.0277503","1"
"WY",NA,NA,NA
