"Location","CDC HIV/AIDS Funding","HOPWA","SAMHSA","Ryan White Program","OMH","Total"
"AL","5364379","2001172","4616715","31902964","0","43885230"
"AK","1531605","0","0","1564094","0","3095699"
"AZ","6994996","2498250","1485329","26942081","0","37920656"
"AR","2084182","863949","0","10743496","0","13691627"
"CA","71758702","39343180","21545633","300012288","809633","433469436"
"CO","8115316","2000579","2558579","28208857","0","40883331"
"CT","6845004","3228628","1920666","30972110","0","42966408"
"DE","2045390","843369","495124","7105818","0","10489701"
"FL","39873465","39830359","14925247","240502195","478900","335610166"
"GA","21138883","11003662","6249304","93635168","0","132027017"
"HI","2826247","654789","2824360","4122102","0","10427498"
"ID","1108012","0","0","3287330","0","4395342"
"IL","24176017","7446663","6164123","89832255","477720","128096778"
"IN","4310989","1875715","1024581","16667009","0","23878294"
"IA","2045239","409416","0","5488279","0","7942934"
"KS","2090337","386858","0","5416669","0","7893864"
"KY","2067378","1068558","1074000","15929507","0","20139443"
"LA","12517676","7403964","785333","50704888","0","71411861"
"ME","1833912","0","0","2713666","0","4547578"
"MD","17798996","10155324","2747860","65436850","0","96139030"
"MA","12897618","4024706","4376664","48807576","0","70106564"
"MI","10616956","4932792","1470666","32195550","0","49215964"
"MN","4206879","0","350000","15215300","0","19772179"
"MS","7272057","2125613","0","18269717","0","27667387"
"MO","6803495","3043016","1420666","29357026","0","40624203"
"MT","1436218","0","0","2085046","0","3521264"
"NE","1940599","358165","0","5094163","0","7392927"
"NV","3040204","1377451","499777","16261946","0","21179378"
"NH","1486511","0","0","2357185","0","3843696"
"NJ","23981947","15002866","2454921","87236395","0","128676129"
"NM","2601482","608287","0","5780079","0","8989848"
"NY","85502989","60548848","18145138","334774397","929921","499901293"
"NC","12981749","4262603","1699117","55947760","0","74891229"
"ND","1065674","0","0","855423","0","1921097"
"OH","7325444","3708886","2665466","34682392","0","48382188"
"OK","2743086","1114664","450000","10363773","254090","14925613"
"OR","4366548","1469070","0","12667789","0","18503407"
"PA","20079428","10373339","3984508","87008108","0","121445383"
"RI","2483000","877009","335333","6262350","0","9957692"
"SC","8188473","3916073","1111319","33495535","0","46711400"
"SD","1325062","","0","1620845","0","2945907"
"TN","8481422","3553468","3609634","37939032","0","53583556"
"TX","37574696","18050218","10192097","151545672","300000","217662683"
"UT","1557779","516074","0","6374524","0","8448377"
"VT","1861550","0","0","1472862","0","3334412"
"VA","12066119","2681436","597724","41891136","0","57236415"
"WA","7904523","2542971","0","28628632","0","39076126"
"WV","1579416","339564","0","3717009","0","5635989"
"WI","4032495","1042438","344209","13803178","0","19222320"
"WY","1031968","0","0","970597","0","2002565"
