"Location","Total"
"AL","20.9"
"AK","4.6"
"AZ","13.3"
"AR","10.0"
"CA","19.2"
"CO","9.6"
"CT","14.2"
"DE","16.7"
"FL","33.2"
"GA","31.4"
"HI","6.8"
"ID","3.0"
"IL","20.0"
"IN","9.5"
"IA","5.0"
"KS","6.2"
"KY","9.4"
"LA","36.6"
"ME","5.2"
"MD","36.4"
"MA","22.5"
"MI","9.6"
"MN","7.2"
"MS","25.3"
"MO","11.2"
"MT","2.6"
"NE","5.1"
"NV","17.7"
"NH","4.5"
"NJ","21.1"
"NM","8.6"
"NY","30.1"
"NC","20.8"
"ND","2.6"
"OH","12.6"
"OK","10.7"
"OR","8.0"
"PA","14.3"
"RI","14.0"
"SC","22.0"
"SD","3.8"
"TN","17.3"
"TX","24.5"
"UT","4.3"
"VT","2.3"
"VA","16.2"
"WA","9.5"
"WV","6.6"
"WI","5.7"
"WY","3.4"
