"Location","Chlamydia Cases"
"AL","29626"
"AK","5739"
"AZ","29251"
"AR","16052"
"CA","166773"
"CO","21811"
"CT","13649"
"DE","4508"
"FL","76033"
"GA","54403"
"HI","6001"
"ID","4699"
"IL","64939"
"IN","27801"
"IA","10705"
"KS","10598"
"KY","16629"
"LA","31614"
"ME","3094"
"MD","27212"
"MA","22764"
"MI","49568"
"MN","16902"
"MS","21216"
"MO","27887"
"MT","3406"
"NE","6780"
"NV","10507"
"NH","3010"
"NJ","26209"
"NM","11374"
"NY","102763"
"NC","54819"
"ND","2445"
"OH","52653"
"OK","14596"
"OR","13643"
"PA","52884"
"RI","4146"
"SC","28932"
"SD","3409"
"TN","31105"
"TX","124882"
"UT","7086"
"VT","1483"
"VA","36314"
"WA","23280"
"WV","4295"
"WI","24619"
"WY","2092"
