"Location","October 2012","October 2013"
"AL","0.071","0.065"
"AK","0.068","0.065"
"AZ","0.081","0.082"
"AR","0.072","0.075"
"CA","0.101","0.087"
"CO","0.077","0.068"
"CT","0.084","0.079"
"DE","0.071","0.068"
"FL","0.082","0.067"
"GA","0.088","0.081"
"HI","0.054","0.044"
"ID","0.066","0.067"
"IL","0.088","0.089"
"IN","0.084","0.075"
"IA","0.051","0.046"
"KS","0.056","0.056"
"KY","0.081","0.084"
"LA","0.059","0.065"
"ME","0.072","0.067"
"MD","0.068","0.067"
"MA","0.067","0.072"
"MI","0.091","0.09"
"MN","0.056","0.048"
"MS","0.091","0.085"
"MO","0.067","0.065"
"MT","0.058","0.052"
"NE","0.039","0.039"
"NV","0.103","0.093"
"NH","0.057","0.051"
"NJ","0.096","0.084"
"NM","0.068","0.066"
"NY","0.084","0.077"
"NC","0.094","0.08"
"ND","0.032","0.027"
"OH","0.069","0.075"
"OK","0.052","0.055"
"OR","0.085","0.077"
"PA","0.08","0.075"
"RI","0.101","0.092"
"SC","0.088","0.075"
"SD","0.044","0.037"
"TN","0.078","0.084"
"TX","0.064","0.062"
"UT","0.055","0.046"
"VT","0.05","0.045"
"VA","0.058","0.056"
"WA","0.078","0.07"
"WV","0.075","0.062"
"WI","0.068","0.065"
"WY","0.051","0.046"
