"Title: Total Federal HIV/AIDS Grant Funding",,,,,,,
"Timeframe: FY 2012",,,,,,,
"Notes: See http://kff.org/hivaids/state-indicator/total-federal-grant-funding/# for notes and sources.",,,,,,,
Location,"CDC HIV/AIDS Funding",HOPWA,SAMHSA,"Ryan White Program",OMH,Total
"United States",567813464,298800000,127418359,2273215474,4322000,3271569297
Alabama,5364379,2001172,4616715,31902964,0,43885230
Alaska,1531605,0,0,1564094,0,3095699
Arizona,6994996,2498250,1485329,26942081,0,37920656
Arkansas,2084182,863949,0,10743496,0,13691627
California,71758702,39343180,21545633,300012288,809633,433469436
Colorado,8115316,2000579,2558579,28208857,0,40883331
Connecticut,6845004,3228628,1920666,30972110,0,42966408
Delaware,2045390,843369,495124,7105818,0,10489701
"District of Columbia",19053043,13623582,4794266,54518863,1071736,93061490
"Federated States of Micronesia",234759,0,0,58186,0,292945
Florida,39873465,39830359,14925247,240502195,478900,335610166
Georgia,21138883,11003662,6249304,93635168,0,132027017
Hawaii,2826247,654789,2824360,4122102,0,10427498
Idaho,1108012,0,0,3287330,0,4395342
Illinois,24176017,7446663,6164123,89832255,477720,128096778
Indiana,4310989,1875715,1024581,16667009,0,23878294
Iowa,2045239,409416,0,5488279,0,7942934
Kansas,2090337,386858,0,5416669,0,7893864
Kentucky,2067378,1068558,1074000,15929507,0,20139443
Louisiana,12517676,7403964,785333,50704888,0,71411861
Maine,1833912,0,0,2713666,0,4547578
"Marshall Islands",250020,0,0,17006,0,267026
Maryland,17798996,10155324,2747860,65436850,0,96139030
Massachusetts,12897618,4024706,4376664,48807576,0,70106564
Michigan,10616956,4932792,1470666,32195550,0,49215964
Minnesota,4206879,0,350000,15215300,0,19772179
Mississippi,7272057,2125613,0,18269717,0,27667387
Missouri,6803495,3043016,1420666,29357026,0,40624203
Montana,1436218,0,0,2085046,0,3521264
Nebraska,1940599,358165,0,5094163,0,7392927
Nevada,3040204,1377451,499777,16261946,0,21179378
"New Hampshire",1486511,0,0,2357185,0,3843696
"New Jersey",23981947,15002866,2454921,87236395,0,128676129
"New Mexico",2601482,608287,0,5780079,0,8989848
"New York",85502989,60548848,18145138,334774397,929921,499901293
"North Carolina",12981749,4262603,1699117,55947760,0,74891229
"North Dakota",1065674,0,0,855423,0,1921097
Ohio,7325444,3708886,2665466,34682392,0,48382188
Oklahoma,2743086,1114664,450000,10363773,254090,14925613
Oregon,4366548,1469070,0,12667789,0,18503407
Pennsylvania,20079428,10373339,3984508,87008108,0,121445383
"Republic of Palau",344601,0,0,52650,0,397251
"Rhode Island",2483000,877009,335333,6262350,0,9957692
"South Carolina",8188473,3916073,1111319,33495535,0,46711400
"South Dakota",1325062,,0,1620845,0,2945907
Tennessee,8481422,3553468,3609634,37939032,0,53583556
Texas,37574696,18050218,10192097,151545672,300000,217662683
Utah,1557779,516074,0,6374524,0,8448377
Vermont,1861550,0,0,1472862,0,3334412
Virginia,12066119,2681436,597724,41891136,0,57236415
Washington,7904523,2542971,0,28628632,0,39076126
"West Virginia",1579416,339564,0,3717009,0,5635989
Wisconsin,4032495,1042438,344209,13803178,0,19222320
Wyoming,1031968,0,0,970597,0,2002565
"American Samoa",285457,0,0,39645,0,325102
Guam,454053,0,0,286530,0,740583
"Northern Mariana Islands",350037,0,0,57276,0,407313
"Puerto Rico",10407867,7692426,500000,57712297,0,76312590
"Virgin Islands",1471515,0,0,2604398,0,4075913
